Activity,Top1,Top2,Top3
Act1,Prof11 (0.284),Prof15 (0.280),Prof12 (0.278)
Act2,Prof11 (0.281),Prof15 (0.277),Prof12 (0.275)
Act3,Prof11 (0.283),Prof15 (0.280),Prof12 (0.277)
Act4,Prof11 (0.285),Prof15 (0.281),Prof12 (0.278)
Act5,Prof11 (0.281),Prof15 (0.277),Prof12 (0.275)
Act6,Prof11 (0.284),Prof15 (0.280),Prof12 (0.278)
Act7,Prof11 (0.281),Prof15 (0.277),Prof12 (0.275)
Act8,Prof11 (0.281),Prof15 (0.277),Prof12 (0.275)
Act9,Prof11 (0.283),Prof15 (0.280),Prof12 (0.277)
Act10,Prof11 (0.283),Prof15 (0.279),Prof12 (0.277)
